Institution Name,Location Classification,Program Type,Land Area (Acres),Number of Classrooms,Number of Tutorial Rooms,Number of PG Labs,Number of Workshops,Computer Center Area (sqm),Library Area (sqm),Seminar Hall Area (sqm),Total Student Intake,Approval Status
Institution_9051,Non-Rural,Combined,2.46,12,3,30,6,221,450,132,245,Approved
Institution_9052,Non-Rural,PG,1.64,20,5,50,20,121,400,132,246,Not Approved
Institution_9053,Non-Rural,UG,2.69,12,3,0,6,266,600,132,492,Approved
Institution_9054,Rural,Diploma,4.28,8,2,0,4,205,400,132,468,Not Approved
Institution_9055,Rural,Combined,10.06,20,5,50,15,198,600,132,557,Approved
Institution_9056,Non-Rural,PG,1.74,12,3,30,12,249,500,132,518,Not Approved
Institution_9057,Rural,UG,6.13,12,3,0,6,145,450,132,588,Not Approved
Institution_9058,Non-Rural,UG,4.7,4,1,0,2,250,550,132,273,Approved
Institution_9059,Non-Rural,PG,4.47,16,4,40,12,276,650,132,132,Approved
Institution_9060,Non-Rural,Diploma,1.0,8,2,0,2,180,650,132,433,Not Approved
Institution_9061,Non-Rural,Diploma,0.54,12,3,0,9,300,650,132,416,Not Approved
Institution_9062,Non-Rural,PG,1.2,16,4,40,16,242,500,132,317,Not Approved
Institution_9063,Rural,UG,10.05,8,2,0,4,124,550,132,498,Not Approved
Institution_9064,Non-Rural,PG,4.76,16,4,40,12,198,400,132,525,Approved
Institution_9065,Non-Rural,Diploma,0.54,8,2,0,6,119,500,132,557,Not Approved
Institution_9066,Non-Rural,PG,1.23,8,2,20,4,82,400,132,409,Not Approved
Institution_9067,Non-Rural,Combined,1.91,8,2,20,4,60,500,132,449,Not Approved
Institution_9068,Rural,PG,7.2,4,1,10,3,205,450,132,151,Not Approved
Institution_9069,Rural,UG,13.93,12,3,0,3,238,400,132,514,Approved
Institution_9070,Rural,PG,7.87,12,3,30,9,160,600,132,231,Not Approved
Institution_9071,Rural,UG,12.33,12,3,0,3,152,650,132,151,Approved
Institution_9072,Non-Rural,PG,2.7,4,1,10,3,211,450,132,519,Approved
Institution_9073,Non-Rural,Diploma,1.17,8,2,0,8,78,550,132,401,Not Approved
Institution_9074,Non-Rural,Diploma,0.55,16,4,0,16,61,500,132,403,Not Approved
Institution_9075,Rural,Combined,13.21,16,4,40,16,213,400,132,567,Approved
Institution_9076,Rural,PG,12.5,16,4,40,8,260,450,132,390,Approved
Institution_9077,Non-Rural,Combined,4.47,16,4,40,12,267,550,132,513,Approved
Institution_9078,Rural,UG,10.36,4,1,0,3,103,600,132,116,Not Approved
Institution_9079,Rural,UG,7.55,12,3,0,6,296,650,132,455,Not Approved
Institution_9080,Non-Rural,Combined,4.63,8,2,20,4,87,400,132,302,Not Approved
Institution_9081,Rural,UG,7.96,8,2,0,2,237,500,132,414,Not Approved
Institution_9082,Non-Rural,Diploma,1.09,8,2,0,2,294,400,132,239,Not Approved
Institution_9083,Rural,UG,5.22,8,2,0,8,115,650,132,500,Not Approved
Institution_9084,Rural,Diploma,7.16,16,4,0,4,66,450,132,174,Not Approved
Institution_9085,Rural,Combined,10.38,20,5,50,20,56,600,132,251,Not Approved
Institution_9086,Non-Rural,Diploma,1.96,4,1,0,3,257,650,132,571,Approved
Institution_9087,Rural,Diploma,4.69,4,1,0,4,289,550,132,294,Not Approved
Institution_9088,Non-Rural,UG,1.62,8,2,0,4,94,650,132,279,Not Approved
Institution_9089,Rural,UG,14.94,12,3,0,12,184,600,132,331,Approved
Institution_9090,Rural,UG,10.83,4,1,0,4,177,650,132,494,Approved
Institution_9091,Rural,Diploma,2.78,8,2,0,4,205,550,132,521,Not Approved
Institution_9092,Non-Rural,PG,1.81,8,2,20,6,263,550,132,437,Not Approved
Institution_9093,Non-Rural,Combined,2.14,12,3,30,12,271,400,132,161,Approved
Institution_9094,Non-Rural,PG,2.84,8,2,20,8,118,500,132,310,Not Approved
Institution_9095,Non-Rural,UG,3.86,12,3,0,3,195,650,132,294,Approved
Institution_9096,Rural,UG,13.43,20,5,0,5,88,500,132,195,Not Approved
Institution_9097,Rural,PG,10.29,8,2,20,8,127,650,132,551,Not Approved
Institution_9098,Rural,Diploma,6.53,8,2,0,8,202,600,132,536,Approved
Institution_9099,Non-Rural,UG,4.68,8,2,0,2,62,400,132,196,Not Approved
Institution_9100,Non-Rural,Diploma,0.54,12,3,0,9,300,650,132,416,Not Approved
Institution_9101,Non-Rural,Diploma,1.04,20,5,0,10,99,650,132,272,Not Approved
Institution_9102,Non-Rural,Diploma,0.85,20,5,0,15,197,650,132,441,Not Approved
Institution_9103,Non-Rural,UG,2.9,16,4,0,8,269,400,132,460,Approved
Institution_9104,Non-Rural,Diploma,1.61,12,3,0,3,155,450,132,440,Approved
Institution_9105,Non-Rural,UG,2.95,20,5,0,20,108,550,132,450,Not Approved
Institution_9106,Non-Rural,Diploma,1.23,12,3,0,12,113,600,132,503,Not Approved
Institution_9107,Non-Rural,Diploma,1.37,20,5,0,15,179,450,132,316,Not Approved
Institution_9108,Non-Rural,Diploma,0.93,20,5,0,10,181,600,132,567,Not Approved
Institution_9109,Non-Rural,PG,2.23,20,5,50,10,208,550,132,493,Not Approved
Institution_9110,Non-Rural,Combined,2.25,8,2,20,8,156,550,132,373,Approved
Institution_9111,Rural,PG,13.4,16,4,40,8,52,400,132,269,Not Approved
Institution_9112,Rural,PG,10.47,16,4,40,12,132,400,132,210,Not Approved
Institution_9113,Rural,UG,10.83,4,1,0,4,177,650,132,494,Approved
Institution_9114,Rural,Diploma,4.33,16,4,0,16,142,500,132,190,Not Approved
Institution_9115,Rural,Diploma,4.33,12,3,0,9,205,600,132,501,Not Approved
Institution_9116,Non-Rural,PG,3.22,12,3,30,6,71,550,132,208,Not Approved
Institution_9117,Rural,Combined,10.27,20,5,50,20,287,400,132,297,Approved
Institution_9118,Rural,UG,5.61,20,5,0,15,178,450,132,571,Not Approved
Institution_9119,Rural,UG,10.91,4,1,0,1,193,500,132,141,Approved
Institution_9120,Rural,Combined,13.59,4,1,10,2,277,600,132,451,Approved
Institution_9121,Rural,Combined,5.75,20,5,50,15,251,550,132,464,Approved
Institution_9122,Non-Rural,PG,1.44,20,5,50,15,242,550,132,450,Not Approved
Institution_9123,Rural,UG,8.68,16,4,0,8,195,450,132,274,Not Approved
Institution_9124,Non-Rural,UG,3.86,12,3,0,3,195,650,132,294,Approved
Institution_9125,Rural,Combined,10.38,12,3,30,12,62,550,132,416,Not Approved
Institution_9126,Rural,Diploma,2.52,12,3,0,6,258,500,132,282,Not Approved
Institution_9127,Non-Rural,UG,1.78,4,1,0,4,221,550,132,335,Not Approved
Institution_9128,Non-Rural,Combined,4.52,8,2,20,2,74,500,132,423,Not Approved
Institution_9129,Rural,UG,14.4,4,1,0,1,293,500,132,452,Approved
Institution_9130,Non-Rural,Diploma,1.38,12,3,0,9,176,400,132,220,Not Approved
Institution_9131,Non-Rural,Combined,0.64,16,4,40,4,300,600,132,191,Approved
Institution_9132,Rural,PG,12.15,20,5,50,5,168,400,132,446,Approved
Institution_9133,Non-Rural,PG,3.45,4,1,10,2,127,400,132,574,Not Approved
Institution_9134,Non-Rural,Diploma,1.96,4,1,0,3,54,500,132,260,Not Approved
Institution_9135,Non-Rural,Diploma,1.51,4,1,0,1,269,600,132,470,Approved
Institution_9136,Non-Rural,Combined,3.08,20,5,50,20,206,500,132,367,Approved
Institution_9137,Non-Rural,Combined,3.06,8,2,20,6,193,400,132,175,Approved
Institution_9138,Rural,PG,11.41,16,4,40,4,179,650,132,363,Approved
Institution_9139,Non-Rural,Combined,4.74,8,2,20,8,186,550,132,576,Approved
Institution_9140,Rural,Combined,6.91,12,3,30,6,104,500,132,319,Not Approved
Institution_9141,Non-Rural,Combined,3.88,12,3,30,6,142,450,132,326,Not Approved
Institution_9142,Rural,Combined,8.86,4,1,10,4,229,500,132,253,Approved
Institution_9143,Non-Rural,Combined,3.31,4,1,10,1,209,400,132,346,Approved
Institution_9144,Rural,Diploma,8.32,4,1,0,4,114,550,132,100,Not Approved
Institution_9145,Non-Rural,UG,1.31,20,5,0,10,176,400,132,199,Not Approved
Institution_9146,Rural,Diploma,3.16,12,3,0,12,77,500,132,211,Not Approved
Institution_9147,Rural,PG,6.5,4,1,10,4,229,450,132,427,Not Approved
Institution_9148,Non-Rural,PG,1.34,8,2,20,4,191,650,132,215,Not Approved
Institution_9149,Rural,Diploma,8.32,4,1,0,4,157,550,132,100,Approved
Institution_9150,Rural,PG,13.89,8,2,20,8,59,500,132,238,Not Approved
Institution_9151,Rural,Diploma,3.37,12,3,0,9,78,650,132,577,Not Approved
Institution_9152,Non-Rural,PG,2.81,12,3,30,9,239,500,132,144,Approved
Institution_9153,Rural,Combined,14.91,12,3,30,12,293,600,132,230,Approved
Institution_9154,Rural,PG,10.12,16,4,40,16,256,500,132,107,Approved
Institution_9155,Rural,UG,7.55,8,2,0,8,296,500,132,423,Not Approved
Institution_9156,Rural,PG,7.69,16,4,40,4,93,600,132,257,Not Approved
Institution_9157,Non-Rural,UG,2.68,16,4,0,16,225,550,132,202,Approved
Institution_9158,Rural,Combined,13.82,16,4,40,8,239,500,132,422,Approved
Institution_9159,Rural,UG,10.51,20,5,0,15,269,600,132,211,Approved
Institution_9160,Rural,PG,12.95,20,5,50,20,153,500,132,350,Approved
Institution_9161,Non-Rural,PG,2.23,12,3,30,9,70,450,132,252,Not Approved
Institution_9162,Rural,Combined,11.76,20,5,50,10,187,400,132,338,Approved
Institution_9163,Rural,PG,8.22,12,3,30,3,135,650,132,311,Not Approved
Institution_9164,Rural,UG,7.43,20,5,0,10,272,600,132,492,Not Approved
Institution_9165,Non-Rural,Combined,1.23,20,5,50,20,147,650,132,265,Not Approved
Institution_9166,Rural,Diploma,6.16,12,3,0,3,257,650,132,198,Approved
Institution_9167,Rural,PG,14.7,4,1,10,2,261,450,132,530,Approved
Institution_9168,Non-Rural,Diploma,0.53,20,5,0,15,50,600,132,174,Not Approved
Institution_9169,Non-Rural,PG,1.94,12,3,30,9,71,550,132,414,Not Approved
Institution_9170,Rural,UG,13.44,4,1,0,3,119,450,132,452,Not Approved
Institution_9171,Rural,PG,9.22,8,2,20,6,291,650,132,491,Not Approved
Institution_9172,Non-Rural,Combined,3.88,12,3,30,6,118,450,132,326,Not Approved
Institution_9173,Non-Rural,Combined,4.11,8,2,20,2,103,550,132,367,Not Approved
Institution_9174,Rural,UG,8.03,8,2,0,8,175,400,132,389,Not Approved
Institution_9175,Rural,Diploma,6.9,16,4,0,12,190,550,132,330,Approved
Institution_9176,Rural,UG,8.57,12,3,0,3,60,550,132,312,Not Approved
Institution_9177,Rural,Diploma,5.18,12,3,0,3,97,500,132,356,Not Approved
Institution_9178,Rural,PG,5.34,12,3,30,12,74,600,132,391,Not Approved
Institution_9179,Non-Rural,UG,3.63,20,5,0,20,177,650,132,231,Approved
Institution_9180,Rural,UG,5.33,20,5,0,20,292,450,132,468,Not Approved
Institution_9181,Rural,UG,5.92,20,5,0,5,171,550,132,411,Not Approved
Institution_9182,Rural,Diploma,2.58,16,4,0,8,87,500,132,239,Not Approved
Institution_9183,Non-Rural,Combined,3.71,16,4,40,12,179,650,132,455,Approved
Institution_9184,Non-Rural,Diploma,0.73,8,2,0,6,282,450,132,589,Not Approved
Institution_9185,Non-Rural,UG,4.35,8,2,0,2,92,500,132,566,Not Approved
Institution_9186,Non-Rural,UG,4.93,16,4,0,16,185,550,132,556,Approved
Institution_9187,Rural,Diploma,7.64,20,5,0,20,52,400,132,353,Not Approved
Institution_9188,Non-Rural,Combined,2.99,4,1,10,3,58,650,132,108,Not Approved
Institution_9189,Non-Rural,Combined,0.96,12,3,30,12,212,650,132,545,Approved
Institution_9190,Rural,Combined,14.02,8,2,20,4,132,550,132,247,Not Approved
Institution_9191,Non-Rural,Diploma,0.66,8,2,0,6,147,400,132,397,Not Approved
Institution_9192,Non-Rural,UG,2.18,16,4,0,4,255,550,132,481,Not Approved
Institution_9193,Non-Rural,Diploma,1.89,4,1,0,3,237,600,132,232,Approved
Institution_9194,Rural,UG,10.01,20,5,0,10,192,550,132,541,Approved
Institution_9195,Non-Rural,PG,2.49,20,5,50,5,220,450,132,168,Not Approved
Institution_9196,Non-Rural,UG,4.08,8,2,0,6,123,600,132,283,Not Approved
Institution_9197,Rural,Combined,10.55,20,5,50,15,57,550,132,178,Not Approved
Institution_9198,Non-Rural,PG,1.63,8,2,20,2,144,600,132,428,Not Approved
Institution_9199,Rural,PG,12.21,12,3,30,3,68,500,132,457,Not Approved
Institution_9200,Non-Rural,Combined,3.84,16,4,40,8,267,600,132,238,Approved
Institution_9201,Non-Rural,Combined,3.76,20,5,50,20,217,650,132,548,Approved
Institution_9202,Non-Rural,PG,4.06,4,1,10,2,161,650,132,225,Approved
Institution_9203,Rural,Diploma,7.98,8,2,0,8,127,450,132,403,Not Approved
Institution_9204,Non-Rural,Combined,4.72,4,1,10,1,222,550,132,532,Approved
Institution_9205,Non-Rural,Combined,3.96,12,3,30,9,198,400,132,211,Approved
Institution_9206,Rural,Diploma,7.1,12,3,0,12,126,450,132,172,Not Approved
Institution_9207,Non-Rural,UG,2.26,20,5,0,10,285,550,132,449,Not Approved
Institution_9208,Rural,Diploma,9.42,4,1,0,1,235,450,132,179,Approved
Institution_9209,Rural,PG,10.55,20,5,50,10,50,500,132,258,Not Approved
Institution_9210,Non-Rural,UG,4.02,16,4,0,16,116,400,132,371,Not Approved
Institution_9211,Non-Rural,Combined,3.43,12,3,30,12,259,450,132,471,Approved
Institution_9212,Non-Rural,PG,3.43,16,4,40,4,182,650,132,512,Approved
Institution_9213,Rural,UG,14.31,12,3,0,3,192,500,132,152,Approved
Institution_9214,Non-Rural,Diploma,1.77,8,2,0,8,293,400,132,573,Approved
Institution_9215,Non-Rural,Combined,1.69,8,2,20,6,278,500,132,479,Approved
Institution_9216,Rural,Diploma,3.13,4,1,0,3,242,600,132,524,Not Approved
Institution_9217,Rural,PG,7.07,4,1,10,2,283,450,132,381,Not Approved
Institution_9218,Non-Rural,PG,2.23,20,5,50,10,208,550,132,493,Not Approved
Institution_9219,Rural,Combined,12.2,12,3,30,6,60,450,132,561,Not Approved
Institution_9220,Rural,UG,13.33,12,3,0,9,134,550,132,115,Not Approved
Institution_9221,Non-Rural,UG,4.8,8,2,0,6,168,400,132,491,Approved
Institution_9222,Non-Rural,UG,2.74,8,2,0,8,207,650,132,400,Approved
Institution_9223,Non-Rural,UG,2.73,4,1,0,3,166,450,132,120,Approved
Institution_9224,Rural,UG,11.02,12,3,0,9,231,450,132,144,Approved
Institution_9225,Rural,Diploma,7.25,20,5,0,10,110,450,132,595,Not Approved
Institution_9226,Rural,PG,5.92,16,4,40,12,167,650,132,315,Not Approved
Institution_9227,Rural,UG,12.1,8,2,0,4,214,600,132,354,Approved
Institution_9228,Rural,Combined,9.91,8,2,20,4,264,650,132,246,Approved
Institution_9229,Rural,Diploma,5.68,20,5,0,5,103,550,132,239,Not Approved
Institution_9230,Non-Rural,Combined,1.69,8,2,20,6,278,500,132,479,Approved
Institution_9231,Non-Rural,Combined,2.19,16,4,40,4,124,500,132,438,Not Approved
Institution_9232,Rural,Diploma,3.21,20,5,0,10,58,600,132,364,Not Approved
Institution_9233,Non-Rural,UG,4.68,8,2,0,2,79,400,132,196,Not Approved
Institution_9234,Non-Rural,Combined,2.54,12,3,30,9,54,600,132,396,Not Approved
Institution_9235,Non-Rural,Combined,0.96,12,3,30,12,51,650,132,545,Not Approved
Institution_9236,Rural,UG,8.01,20,5,0,10,120,650,132,296,Not Approved
Institution_9237,Non-Rural,Combined,1.69,8,2,20,6,278,500,132,479,Approved
Institution_9238,Non-Rural,Diploma,1.3,8,2,0,2,201,550,132,278,Not Approved
Institution_9239,Non-Rural,PG,2.06,12,3,30,12,186,550,132,456,Not Approved
Institution_9240,Non-Rural,Diploma,0.58,12,3,0,9,257,400,132,322,Not Approved
Institution_9241,Rural,PG,9.24,12,3,30,9,204,500,132,227,Not Approved
Institution_9242,Rural,UG,7.96,8,2,0,2,57,500,132,414,Not Approved
Institution_9243,Rural,UG,10.94,12,3,0,6,50,650,132,477,Not Approved
Institution_9244,Rural,PG,8.38,4,1,10,4,178,650,132,215,Not Approved
Institution_9245,Non-Rural,Combined,1.73,16,4,40,16,172,650,132,274,Approved
Institution_9246,Rural,UG,14.43,12,3,0,9,142,500,132,199,Not Approved
Institution_9247,Non-Rural,UG,3.63,20,5,0,20,131,650,132,231,Not Approved
Institution_9248,Rural,UG,6.5,4,1,0,4,151,600,132,360,Not Approved
Institution_9249,Non-Rural,PG,2.6,16,4,40,16,66,400,132,300,Not Approved
Institution_9250,Non-Rural,PG,3.78,16,4,40,12,199,550,132,421,Approved
Institution_9251,Rural,Diploma,8.32,4,1,0,4,157,550,132,100,Approved
Institution_9252,Non-Rural,UG,5.0,8,2,0,2,240,500,132,586,Approved
Institution_9253,Non-Rural,Combined,0.92,16,4,40,8,166,500,132,480,Approved
Institution_9254,Rural,PG,13.11,12,3,30,12,230,400,132,234,Approved
Institution_9255,Non-Rural,PG,3.94,8,2,20,4,268,400,132,534,Approved
Institution_9256,Non-Rural,Combined,4.1,16,4,40,16,186,550,132,274,Approved
Institution_9257,Rural,PG,6.5,4,1,10,4,229,450,132,427,Not Approved
Institution_9258,Rural,Combined,5.71,8,2,20,6,272,400,132,519,Approved
Institution_9259,Rural,Combined,11.63,16,4,40,12,148,450,132,563,Not Approved
Institution_9260,Rural,Diploma,9.46,4,1,0,3,169,600,132,220,Approved
Institution_9261,Rural,Combined,6.1,4,1,10,1,124,400,132,550,Not Approved
Institution_9262,Rural,Diploma,2.62,12,3,0,9,168,500,132,234,Not Approved
Institution_9263,Rural,Combined,8.95,4,1,10,3,270,500,132,162,Approved
Institution_9264,Rural,Combined,7.24,16,4,40,16,163,400,132,409,Approved
Institution_9265,Rural,UG,9.23,20,5,0,5,67,650,132,406,Not Approved
Institution_9266,Non-Rural,UG,1.44,4,1,0,2,209,550,132,192,Not Approved
Institution_9267,Rural,Combined,6.52,20,5,50,10,291,400,132,326,Approved
Institution_9268,Non-Rural,Combined,3.31,4,1,10,1,139,400,132,346,Not Approved
Institution_9269,Non-Rural,PG,4.32,12,3,30,12,219,450,132,265,Approved
Institution_9270,Non-Rural,Combined,4.63,8,2,20,4,241,400,132,302,Approved
Institution_9271,Rural,Combined,11.84,20,5,50,20,191,450,132,354,Approved
Institution_9272,Non-Rural,UG,3.89,16,4,0,12,112,500,132,408,Not Approved
Institution_9273,Rural,Combined,7.76,8,2,20,4,109,650,132,479,Not Approved
Institution_9274,Rural,Combined,11.07,16,4,40,12,271,650,132,280,Approved
Institution_9275,Non-Rural,PG,3.52,8,2,20,2,300,550,132,259,Approved
Institution_9276,Non-Rural,UG,4.62,16,4,0,12,109,500,132,519,Not Approved
Institution_9277,Rural,Diploma,2.52,12,3,0,6,258,500,132,282,Not Approved
Institution_9278,Rural,Diploma,2.72,20,5,0,15,187,600,132,172,Not Approved
Institution_9279,Rural,Diploma,9.62,8,2,0,6,267,600,132,579,Approved
Institution_9280,Non-Rural,UG,0.95,8,2,0,2,188,500,132,260,Not Approved
Institution_9281,Rural,PG,13.03,8,2,20,4,58,450,132,326,Not Approved
Institution_9282,Non-Rural,Combined,2.07,4,1,10,2,296,400,132,287,Approved
Institution_9283,Non-Rural,Combined,3.25,20,5,50,20,124,650,132,221,Not Approved
Institution_9284,Non-Rural,PG,4.15,16,4,40,16,69,500,132,522,Not Approved
Institution_9285,Non-Rural,Diploma,0.87,8,2,0,6,236,400,132,218,Not Approved
Institution_9286,Rural,UG,6.94,8,2,0,6,192,650,132,109,Not Approved
Institution_9287,Rural,UG,8.86,8,2,0,4,264,500,132,165,Not Approved
Institution_9288,Rural,PG,8.26,12,3,30,3,95,650,132,446,Not Approved
Institution_9289,Non-Rural,UG,3.86,20,5,0,15,277,450,132,213,Approved
Institution_9290,Rural,PG,14.44,8,2,20,2,150,400,132,568,Approved
Institution_9291,Non-Rural,PG,4.52,12,3,30,12,293,400,132,592,Approved
Institution_9292,Non-Rural,Combined,3.52,4,1,10,1,268,550,132,430,Approved
Institution_9293,Non-Rural,PG,4.53,8,2,20,6,136,600,132,487,Not Approved
Institution_9294,Non-Rural,UG,3.57,12,3,0,12,218,450,132,499,Approved
Institution_9295,Rural,Diploma,4.44,4,1,0,4,272,400,132,287,Not Approved
Institution_9296,Non-Rural,UG,2.69,12,3,0,6,63,600,132,492,Not Approved
Institution_9297,Rural,Combined,14.16,8,2,20,6,206,400,132,320,Approved
Institution_9298,Non-Rural,PG,1.42,16,4,40,4,155,400,132,129,Not Approved
Institution_9299,Rural,Combined,8.56,16,4,40,8,248,550,132,550,Approved
Institution_9300,Rural,Combined,7.11,8,2,20,8,258,650,132,314,Approved
Institution_9301,Rural,Diploma,6.51,12,3,0,9,236,450,132,118,Approved
Institution_9302,Non-Rural,UG,4.63,4,1,0,4,240,500,132,347,Approved
Institution_9303,Non-Rural,UG,2.97,4,1,0,1,281,600,132,368,Approved
Institution_9304,Non-Rural,PG,2.66,16,4,40,8,70,650,132,345,Not Approved
Institution_9305,Non-Rural,Diploma,1.88,4,1,0,3,80,500,132,172,Not Approved
Institution_9306,Non-Rural,PG,1.24,20,5,50,20,294,500,132,528,Not Approved
Institution_9307,Non-Rural,PG,4.81,16,4,40,16,176,650,132,340,Approved
Institution_9308,Rural,Combined,6.52,16,4,40,8,191,400,132,571,Approved
Institution_9309,Non-Rural,UG,2.26,20,5,0,10,285,550,132,449,Not Approved
Institution_9310,Rural,Diploma,7.06,12,3,0,3,200,650,132,162,Approved
Institution_9311,Non-Rural,PG,1.74,12,3,30,12,249,500,132,518,Not Approved
Institution_9312,Rural,Diploma,3.73,12,3,0,9,67,400,132,321,Not Approved
Institution_9313,Non-Rural,Diploma,1.62,16,4,0,12,169,550,132,453,Approved
Institution_9314,Non-Rural,Combined,3.03,12,3,30,3,288,450,132,221,Approved
Institution_9315,Non-Rural,PG,4.06,4,1,10,2,161,650,132,225,Approved
Institution_9316,Rural,Combined,8.95,4,1,10,3,270,500,132,162,Approved
Institution_9317,Rural,Diploma,9.7,20,5,0,5,150,400,132,220,Approved
Institution_9318,Rural,Diploma,2.18,8,2,0,4,236,500,132,124,Not Approved
Institution_9319,Rural,Diploma,9.02,8,2,0,8,51,500,132,374,Not Approved
Institution_9320,Rural,UG,6.94,8,2,0,6,192,650,132,109,Not Approved
Institution_9321,Rural,UG,12.12,4,1,0,4,296,500,132,528,Approved
Institution_9322,Rural,Diploma,6.22,16,4,0,4,202,650,132,337,Approved
Institution_9323,Non-Rural,UG,1.62,12,3,0,6,165,450,132,229,Not Approved
Institution_9324,Non-Rural,Diploma,1.37,20,5,0,15,143,450,132,316,Not Approved
Institution_9325,Rural,Combined,14.79,4,1,10,3,81,600,132,159,Not Approved
Institution_9326,Non-Rural,PG,3.43,16,4,40,4,86,650,132,512,Not Approved
Institution_9327,Rural,PG,5.17,12,3,30,9,209,550,132,319,Not Approved
Institution_9328,Non-Rural,Combined,3.07,20,5,50,10,288,450,132,409,Approved
Institution_9329,Non-Rural,Combined,4.17,16,4,40,16,64,500,132,323,Not Approved
Institution_9330,Non-Rural,Combined,3.07,16,4,40,12,189,650,132,520,Approved
Institution_9331,Rural,Diploma,2.65,12,3,0,12,253,450,132,591,Not Approved
Institution_9332,Rural,UG,10.62,16,4,0,8,181,500,132,442,Approved
Institution_9333,Non-Rural,Diploma,1.51,4,1,0,1,269,600,132,470,Approved
Institution_9334,Non-Rural,Combined,0.96,12,3,30,12,99,650,132,545,Not Approved
Institution_9335,Rural,Diploma,9.02,8,2,0,8,284,500,132,374,Approved
Institution_9336,Non-Rural,PG,1.57,20,5,50,15,68,550,132,313,Not Approved
Institution_9337,Non-Rural,PG,0.96,20,5,50,5,150,550,132,251,Not Approved
Institution_9338,Rural,UG,13.93,12,3,0,3,144,400,132,514,Not Approved
Institution_9339,Non-Rural,Diploma,1.12,4,1,0,4,276,450,132,116,Not Approved
Institution_9340,Non-Rural,Combined,0.97,20,5,50,10,162,550,132,520,Approved
Institution_9341,Non-Rural,PG,4.84,12,3,30,3,77,600,132,401,Not Approved
Institution_9342,Non-Rural,Combined,1.7,16,4,40,16,206,400,132,385,Approved
Institution_9343,Rural,UG,6.63,16,4,0,8,166,550,132,403,Not Approved
Institution_9344,Rural,Combined,5.34,8,2,20,6,182,400,132,340,Approved
Institution_9345,Non-Rural,UG,1.31,20,5,0,10,67,400,132,199,Not Approved
Institution_9346,Rural,PG,10.47,16,4,40,12,68,400,132,210,Not Approved
Institution_9347,Non-Rural,UG,1.8,4,1,0,3,285,400,132,177,Not Approved
Institution_9348,Rural,Combined,5.43,8,2,20,4,64,600,132,432,Not Approved
Institution_9349,Non-Rural,PG,2.66,16,4,40,8,258,650,132,345,Approved
Institution_9350,Non-Rural,UG,3.37,8,2,0,8,194,450,132,182,Approved
Institution_9351,Rural,UG,6.97,8,2,0,8,239,600,132,320,Not Approved
Institution_9352,Non-Rural,Combined,1.47,4,1,10,4,162,400,132,176,Approved
Institution_9353,Non-Rural,Diploma,1.88,16,4,0,12,208,650,132,572,Approved
Institution_9354,Non-Rural,Combined,2.4,4,1,10,2,163,600,132,369,Approved
Institution_9355,Rural,Combined,11.02,8,2,20,2,80,550,132,202,Not Approved
Institution_9356,Non-Rural,PG,2.51,12,3,30,9,259,450,132,137,Approved
Institution_9357,Rural,Combined,10.55,20,5,50,15,72,550,132,178,Not Approved
Institution_9358,Rural,UG,8.57,12,3,0,3,146,550,132,312,Not Approved
Institution_9359,Rural,PG,7.83,20,5,50,20,241,550,132,499,Not Approved
Institution_9360,Rural,UG,8.34,16,4,0,4,291,450,132,100,Not Approved
Institution_9361,Rural,Combined,11.41,16,4,40,8,168,500,132,586,Approved
Institution_9362,Rural,Diploma,4.33,4,1,0,1,278,400,132,419,Not Approved
Institution_9363,Rural,Combined,7.74,16,4,40,12,187,450,132,377,Approved
Institution_9364,Rural,Combined,6.52,16,4,40,8,191,400,132,571,Approved
Institution_9365,Rural,Diploma,5.8,16,4,0,8,283,650,132,544,Approved
Institution_9366,Non-Rural,Diploma,1.47,12,3,0,6,258,650,132,437,Not Approved
Institution_9367,Non-Rural,Diploma,1.9,20,5,0,20,227,600,132,475,Approved
Institution_9368,Non-Rural,UG,4.15,8,2,0,2,100,600,132,534,Not Approved
Institution_9369,Rural,Combined,11.84,20,5,50,20,191,450,132,354,Approved
Institution_9370,Rural,Diploma,6.9,16,4,0,12,190,550,132,330,Approved
Institution_9371,Non-Rural,Diploma,1.77,8,2,0,8,275,500,132,473,Approved
Institution_9372,Rural,Combined,5.83,12,3,30,3,255,650,132,501,Approved
Institution_9373,Rural,UG,7.55,12,3,0,6,296,650,132,455,Not Approved
Institution_9374,Rural,UG,9.16,12,3,0,6,125,400,132,583,Not Approved
Institution_9375,Rural,Combined,12.2,12,3,30,6,68,450,132,561,Not Approved
Institution_9376,Non-Rural,Combined,3.45,12,3,30,12,201,450,132,164,Approved
Institution_9377,Non-Rural,Diploma,1.89,4,1,0,3,237,600,132,232,Approved
Institution_9378,Rural,PG,7.2,4,1,10,3,205,450,132,151,Not Approved
Institution_9379,Rural,Diploma,6.22,16,4,0,4,202,650,132,337,Approved
Institution_9380,Non-Rural,Combined,4.72,4,1,10,1,222,550,132,532,Approved
Institution_9381,Rural,Combined,13.5,16,4,40,16,170,600,132,306,Approved
Institution_9382,Rural,UG,11.29,8,2,0,2,139,600,132,547,Not Approved
Institution_9383,Non-Rural,Diploma,1.9,8,2,0,2,181,550,132,557,Approved
Institution_9384,Rural,Combined,14.02,8,2,20,4,251,550,132,247,Approved
Institution_9385,Non-Rural,Diploma,1.51,8,2,0,4,78,500,132,593,Not Approved
